station_id,station_name,latitude,longitude,year,month,date,month_id,season,split,rainfall_mm,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,raster_x,raster_y,inside_raster_bounds,valid_predictor_count,missing_predictor_count,all_predictors_available
CL515,Paikgacha,22.585,89.3182,2019,7,2019-07-01,2019_07,Monsoon,train,360.0,322.30181884765625,434.4891662597656,413.53167724609375,241.5233612060547,311.307373046875,193.836181640625,0.39920175075531,33.369998931884766,0.4814000129699707,425.647705078125,391.5648498535156,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-0.4999999999999997,-0.8660254037844388,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,7,2019-07-01,2019_07,Monsoon,train,331.1,430.0278015136719,453.6504211425781,500.8547058105469,238.0771331787109,441.0033264160156,208.84385681152344,0.4355812072753906,33.33000183105469,0.2382999956607818,451.6117248535156,343.7608947753906,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-0.4999999999999997,-0.8660254037844388,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2019,9,2019-09-01,2019_09,Monsoon,train,75.7,162.28848266601562,311.1045227050781,211.177001953125,186.664779663086,378.9163208007813,149.56048583984375,0.3677993714809418,30.59000015258789,0.7045000195503235,332.1385803222656,251.0250701904297,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-1.0,-1.8369701987210292e-16,89.4145,22.8093,True,15,0,True
CL510,Khulna,22.8319,89.55,2019,9,2019-09-01,2019_09,Monsoon,train,238.0,166.04986572265625,315.6799011230469,185.56884765625,184.0332489013672,371.2784729003906,168.0010528564453,0.3555145859718323,33.70000076293945,0.579800009727478,309.28271484375,223.95184326171875,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-1.0,-1.8369701987210292e-16,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2019,9,2019-09-01,2019_09,Monsoon,train,208.0,206.6425018310547,292.4473571777344,242.26998901367188,205.8969268798828,423.73529052734375,196.17889404296875,0.4268870651721954,30.22333335876465,0.4860000014305115,369.1255798339844,265.7266540527344,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-1.0,-1.8369701987210292e-16,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,9,2019-09-01,2019_09,Monsoon,train,139.0,147.32022094726562,315.44366455078125,168.8421173095703,186.00328063964844,374.2822265625,173.23196411132812,0.3601663112640381,30.989999771118164,0.5562999844551086,328.7251281738281,215.4867401123047,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-1.0,-1.8369701987210292e-16,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2019,10,2019-10-01,2019_10,Post_Monsoon,train,332.6,43.535552978515625,178.93006896972656,163.32115173339844,156.60061645507812,235.26254272460932,135.66558837890625,0.214805781841278,29.36333274841309,0.6425999999046326,116.0158920288086,92.81202697753906,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-0.8660254037844386,0.5000000000000001,89.4145,22.8093,True,15,0,True
CL510,Khulna,22.8319,89.55,2019,10,2019-10-01,2019_10,Post_Monsoon,train,318.2,40.46109771728516,164.9236297607422,151.30404663085938,149.3544464111328,261.3318176269531,137.56515502929688,0.2167177498340606,31.023332595825195,0.6075999736785889,104.0157699584961,81.17182159423828,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-0.8660254037844386,0.5000000000000001,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2019,10,2019-10-01,2019_10,Post_Monsoon,train,229.1,94.210693359375,231.30340576171875,171.44432067871094,147.93682861328125,220.067626953125,156.2635955810547,0.2482863366603851,29.46999931335449,0.5289999842643738,150.57020568847656,126.49492645263672,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-0.8660254037844386,0.5000000000000001,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,10,2019-10-01,2019_10,Post_Monsoon,train,161.9,49.1820182800293,163.60813903808594,139.19308471679688,143.38015747070312,253.24400329589844,149.14414978027344,0.2195883840322494,29.1433334350586,0.546999990940094,107.6827392578125,79.26896667480469,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-0.8660254037844386,0.5000000000000001,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2019,11,2019-11-01,2019_11,Post_Monsoon,train,93.7,51.06196594238281,119.69223022460938,55.244747161865234,148.06787109375,259.1054992675781,297.5218811035156,0.2061775922775268,28.07999992370605,0.6191999912261963,68.2221908569336,115.31906127929688,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-0.5000000000000004,0.8660254037844384,89.4145,22.8093,True,15,0,True
