station_id,station_name,latitude,longitude,year,month,date,month_id,season,split,rainfall_mm,GSMaP_MVK,IMERG,LST,NDVI,PDIR,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,raster_x,raster_y,inside_raster_bounds,valid_predictor_count,missing_predictor_count,all_predictors_available
CL503,Chalna,22.6012,89.5195,2021,8,2021-08-01,2021_08,Monsoon,validation,414.3,209.3189697265625,0.4957949221134186,28.876667022705078,0.4156999886035919,377.10845947265625,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,-0.8660254037844385,-0.5000000000000004,89.5195,22.6012,True,11,4,False
CL504,Dumuria,22.8093,89.4145,2021,8,2021-08-01,2021_08,Monsoon,validation,354.5,145.06529235839844,0.4471412301063537,31.309999465942383,0.635699987411499,295.9019470214844,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-0.8660254037844385,-0.5000000000000004,89.4145,22.8093,True,14,1,False
CL509,Kapilmuni,22.6887,89.3088,2021,8,2021-08-01,2021_08,Monsoon,validation,318.2,209.3189697265625,0.4779434502124786,30.489999771118164,0.515999972820282,455.7742462158203,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,-0.8660254037844385,-0.5000000000000004,89.3088,22.6887,True,12,3,False
CL510,Khulna,22.8319,89.55,2021,8,2021-08-01,2021_08,Monsoon,validation,353.9,163.79397583007812,0.4514299929141998,33.04999923706055,0.569100022315979,302.7120361328125,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-0.8660254037844385,-0.5000000000000004,89.55,22.8319,True,14,1,False
CL515,Paikgacha,22.585,89.3182,2021,8,2021-08-01,2021_08,Monsoon,validation,311.2,209.3189697265625,0.4977423250675201,28.770000457763672,0.2269999980926513,397.50390625,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-0.8660254037844385,-0.5000000000000004,89.3182,22.585,True,14,1,False
CL517,Rupsa,22.79,89.59,2021,8,2021-08-01,2021_08,Monsoon,validation,316.6,186.92041015625,0.4669212102890014,28.229999542236328,0.4699999988079071,302.9478454589844,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-0.8660254037844385,-0.5000000000000004,89.59,22.79,True,14,1,False
CL503,Chalna,22.6012,89.5195,2021,9,2021-09-01,2021_09,Monsoon,validation,196.1,449.7126159667969,0.6239979267120361,23.8799991607666,0.4973999857902527,515.59228515625,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,-1.0,-1.8369701987210292e-16,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2021,9,2021-09-01,2021_09,Monsoon,validation,75.8,398.6134643554688,0.5582312941551208,30.536666870117188,0.6118999719619751,408.86669921875,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-1.0,-1.8369701987210292e-16,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2021,9,2021-09-01,2021_09,Monsoon,validation,207.5,451.80474853515625,0.6078020930290222,29.683332443237305,0.6783000230789185,356.43235778808594,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,-1.0,-1.8369701987210292e-16,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2021,9,2021-09-01,2021_09,Monsoon,validation,209.1,416.572509765625,0.5386936664581299,34.38999938964844,0.5922999978065491,457.9241943359375,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-1.0,-1.8369701987210292e-16,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2021,9,2021-09-01,2021_09,Monsoon,validation,236.9,465.7724609375,0.6524341106414795,30.920000076293945,0.4533999860286712,442.4424743652344,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-1.0,-1.8369701987210292e-16,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2021,9,2021-09-01,2021_09,Monsoon,validation,136.3,423.1275329589844,0.554246723651886,30.489999771118164,0.6985999941825867,470.2657165527344,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-1.0,-1.8369701987210292e-16,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2021,10,2021-10-01,2021_10,Post_Monsoon,validation,354.6,291.86474609375,0.3894986808300018,28.28333282470703,0.5728999972343445,280.89776611328125,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,-0.8660254037844386,0.5000000000000001,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2021,10,2021-10-01,2021_10,Post_Monsoon,validation,294.5,241.32614135742188,0.3453386127948761,28.77666664123535,0.6481999754905701,172.85678100585938,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-0.8660254037844386,0.5000000000000001,89.4145,22.8093,True,15,0,True
